Consumer_number,Consumer_type
AACP61877322721317,rural domestic
AATX61161116356557,domestic
ABEJ68950564531553,domestic
ABUM50429026998266,rural domestic
ADBQ44944453582333,rural domestic
ADKJ26366564447127,rural domestic
ADYG46035417336230,domestic
AEBU54480786458823,rural domestic
AEQZ48426066915128,rural domestic
AESM26658198482962,domestic
AFZX94165604206691,domestic
AGAC27538899776874,rural domestic
AGRV04968212766096,domestic
AGRZ51594886918267,rural domestic
AGZD07213467721118,domestic
AHQR63224290404474,domestic
AHRA93701497494813,domestic
AIBS44679548360057,domestic
AINM42820652345533,rural domestic
AINS69421915038653,domestic
AIZS95088107807359,rural domestic
AJBQ65306947107446,rural domestic
AJGI99291430611356,domestic
AJRW81013890894131,domestic
AKRB11808828791456,rural domestic
AKYM96531089023926,rural domestic
AMHA76139763078950,domestic
AMNN99337003722901,domestic
AMYM28677755960128,rural domestic
AOBD94568656589409,domestic
APFF88941002118819,rural domestic
APIX23025239230384,domestic
APKD97648917524022,rural domestic
APZE11768434875655,domestic
AQEZ75794813957989,rural domestic
AQHW65774208709042,domestic
AQLT91571953050328,domestic
AQOD24312433438779,domestic
ARVA35627514832759,domestic
ASDA20040602405298,rural domestic
ASFD86093145511985,domestic
ATQZ26800707300481,rural domestic
ATSE10024805129232,rural domestic
ATVJ23772428516669,domestic
AUBP83597852615488,domestic
AUCX11504368520422,rural domestic
AUMM75857922031617,rural domestic
AVOZ85303473345749,domestic
AXMP29773891771890,domestic
AXPA23320389183167,domestic
AYFO01640637647206,rural domestic
AYIN48304462087836,rural domestic
AYIZ58510315322113,domestic
AYPA12087855268338,rural domestic
AYUV42489433814593,domestic
AZBY61891155526602,domestic
AZQH24086160367709,domestic
BAMR85095776985408,domestic
BAWZ19048421193785,domestic
BBKR60107072328056,rural domestic
BCUQ98161235246023,domestic
BCYY13844819599531,domestic
BDCB47438361135086,domestic
BDYW49302208987574,rural domestic
BENG66184610421490,domestic
BFVV03219122082061,domestic
BGFZ67385415808661,rural domestic
BGTF35225240838848,domestic
BGVR39091964862035,rural domestic
BGXR13177410630305,domestic
BGYG34266322376546,domestic
BHFZ69482699991074,rural domestic
BHHY27690293724874,rural domestic
BHPY50156181406298,rural domestic
BIDH16788673833913,domestic
BIIM61227429689854,rural domestic
BKJO54035065852636,domestic
BKSL74434983555882,domestic
BLAK76953498874326,rural domestic
BMEZ22768281165510,domestic
BMJV91656158461904,rural domestic
BMPP69449933761787,rural domestic
BMSL14220582125566,domestic
BNYT85809292475290,rural domestic
BPDC25557573931393,domestic
BPHT67463921339462,domestic
BQFG94024600890381,rural domestic
BQKY09534094747768,rural domestic
BQRR25496914026098,rural domestic
BQVI31034264475404,domestic
BRHB63237066191567,domestic
BRLG13448108220470,rural domestic
BRMB53233961596348,domestic
BRPR02204895745879,domestic
BSAZ08013603035624,domestic
BSTW53774936227615,domestic
BSXD92042628358546,domestic
BTCO02703388351356,domestic
BTIF48335088055772,domestic
BTQM49798143241933,rural domestic
BTRA97125362656993,domestic
BTZW14186882788459,domestic
BUGC97180958072532,domestic
BUHC17837271067468,domestic
BUOF20880046517214,rural domestic
BUPJ40664730131362,domestic
BWGO74201355286985,domestic
BWKX56277603323991,rural domestic
BWPJ98749004531103,rural domestic
BXCI28257066370457,rural domestic
BXGB89559071681570,domestic
BXGC58144989685357,domestic
BXNZ33804647406199,domestic
BXVB90321037919743,domestic
BXYL76427265543390,rural domestic
BYWG50641824357122,domestic
BYXJ81258429861243,domestic
BYYN99780792499601,domestic
BZVZ46317926323110,domestic
CAIA52303016794882,rural domestic
CAJG67880314010654,domestic
CAMY92343595475606,rural domestic
CAYO62561885450849,domestic
CBQG23992515253107,domestic
CCQL02021955482656,domestic
CCTM69477356226980,domestic
CCWP71177256535184,rural domestic
CCXQ65401576461836,rural domestic
CDDI73486505946036,domestic
CDMV45003923863554,rural domestic
CDUH34623988572920,domestic
CEOM94207501913012,domestic
CEZM82527801889609,domestic
CFFE10196847230630,domestic
CFJE32621801158701,domestic
CFQQ07700307161416,domestic
CFRP77762362914458,domestic
CGDO45046562545022,domestic
CGDU21628462610653,domestic
CGGR78399883816814,rural domestic
CGPQ60948529596490,domestic
CGUM73453672562205,domestic
CHED18777236743917,domestic
CIRK82309217383949,domestic
CIVY54578877818265,rural domestic
CJWO78407286300281,domestic
CKNG88737255766732,domestic
CKOM87040183499746,rural domestic
CKRY25124116704977,rural domestic
CKUM80268273153824,domestic
CLQG78039033709239,domestic
CLYJ09500698484176,domestic
CMEV84555332378977,domestic
CMPI83979886283835,rural domestic
CMYC66309298518525,domestic
CNAT23481971464760,domestic
CNTT86559279224757,domestic
COIA99590429862472,domestic
COWH94393019622935,domestic
CPVV82515283516458,domestic
CPVV89099137098897,rural domestic
CPXU61215292147087,rural domestic
CRUN72293189889105,domestic
CSKC19500104342907,domestic
CSKL41874636947940,domestic
CSRU43814285112593,rural domestic
CTSV81171136143354,domestic
CULH61719188142915,rural domestic
CUSS76628897512056,domestic
CUUK70735165026551,domestic
CUYT42728945308810,domestic
CVVO20446662078580,domestic
CVXL60154619425736,rural domestic
CWKW94602152420619,rural domestic
CWPB63393839524718,rural domestic
CXBY24858785630234,domestic
CXFC43561853522715,rural domestic
CXFM33077740050250,domestic
CXTB22404757815933,domestic
CXTD59646090819107,rural domestic
CYGX49821061937462,domestic
CYPV95300994106083,domestic
CZKF92250367225217,rural domestic
CZMR21912044806678,domestic
DAII61326028648122,domestic
DBAI75163995626496,domestic
DBBR29425524197519,rural domestic
DBIY10527842617290,domestic
DBKW03816317219245,rural domestic
DBTJ29913765995159,domestic
DCDZ99453406305107,domestic
DCKU75465520247353,rural domestic
DCOX56894168490254,domestic
DDIK48453230548846,domestic
DDJX71673488746941,rural domestic
DENA59981898513652,domestic
DEVV04778672276232,domestic
DEWH67136698287645,rural domestic
DEWJ52913202161411,domestic
DFBA54753013473061,domestic
DFJI68149293129300,domestic
DFPB62915822725412,domestic
DFWC30010522183120,domestic
DGEK83201214363039,domestic
DGKJ23430733490070,domestic
DGVO42588551351461,domestic
DHFX61644421964103,rural domestic
DHLT22751152114004,rural domestic
DHNZ15281125337787,rural domestic
DHPZ79723545914432,domestic
DICO89955771650125,domestic
DILE36001796160982,domestic
DINC98133863964006,domestic
DJLP16195345505980,rural domestic
DJNJ39568405803546,domestic
DJPH52747873678053,domestic
DKCY25913019460431,domestic
DKGF50573858053060,domestic
DKNF49408713640838,domestic
DKSV04097572249357,domestic
DKUQ58536240446944,rural domestic
DKWR40757445081145,domestic
DLEG55705836479439,rural domestic
DLEW66076045020818,domestic
DMQW06422804051098,domestic
DMUC29221000496705,domestic
DNEE25847796434678,domestic
DNUT84611745346865,domestic
DORO67203115676610,domestic
DPEN79206031434033,domestic
DPFU29133412721518,domestic
DPVF33045482815654,domestic
DQWP52567641041281,domestic
DQWS00926800281453,rural domestic
DRIP69628372084837,domestic
DRJZ77577598647087,rural domestic
DRPC09486386151239,rural domestic
DSRA24657489794459,domestic
DSRR48846945484714,domestic
DSUK17557376745378,domestic
DTAT85169253987351,rural domestic
DTBZ10770647427082,domestic
DTFK65617115118940,rural domestic
DTTQ98505716003037,rural domestic
DTYE00768103557033,domestic
DVKV57085470632067,rural domestic
DVNT80913433379832,rural domestic
DVNY35143645140029,domestic
DVQV71904269578787,domestic
DVSG92636816250682,domestic
DVUF17816765061157,domestic
DWCB87797412819391,domestic
DWLO25953900969722,domestic
DWOL20606574790454,domestic
DWZM12349255648526,domestic
DWZT19944471696987,domestic
DXOU13043829380480,domestic
DXUY64317759686622,domestic
DYHK90009857546508,rural domestic
DYZI31447039939578,rural domestic
DZBN59178538589505,rural domestic
DZFQ84953412069335,domestic
DZIG08038037672135,domestic
DZNF17727300387435,domestic
EABA91515327792523,domestic
EACA76547460527145,domestic
EBDH32548851122217,domestic
EBGM54678270889415,domestic
EBRL19559017852699,domestic
EBVU90010372787021,domestic
EDCM45829369428453,rural domestic
EDDZ30761153902957,rural domestic
EDOD07461150815386,domestic
EFFO01156111827590,rural domestic
EFLJ97449540771640,rural domestic
EFMG85400770549608,domestic
EFPT25527968957793,rural domestic
EFSZ57129373079131,domestic
EFXT87172496855944,domestic
EGKE92863689085838,domestic
EGLU01654421194477,rural domestic
EGTL84711096064353,domestic
EGYU92010243816407,domestic
EHCJ02706135202063,domestic
EIJG03228569400388,rural domestic
EJKJ55523324017729,rural domestic
EJUM28982272964967,domestic
EJXL26542803082817,rural domestic
EJZC23880087341051,rural domestic
EKLC17505514913578,rural domestic
EKZL76248245621208,domestic
ELIT29160802813731,domestic
EMZG01529795013433,domestic
ENJI06119760584194,rural domestic
ENRN35247370059665,domestic
EODC82136417557525,rural domestic
EOIV29302505876460,domestic
EOUK56782192307936,domestic
EPAM08578780222373,domestic
EPRR23708929981794,domestic
EQAD52473277545292,domestic
EQKL85694875580467,domestic
EQSC92521883316740,domestic
EQSK64517530317557,domestic
ERBX47532433804189,rural domestic
ERFI51221420324932,domestic
ERUA87998344477699,domestic
ESMP23971105758737,rural domestic
ESPW39623958341450,rural domestic
ESSA40593653770016,domestic
EUEJ04437992005975,domestic
EUJA93007349200879,rural domestic
EUWL54244961347474,rural domestic
EWFB71935989457306,rural domestic
EWPI23382772590958,rural domestic
EWUJ33672312263765,domestic
EXBN45794797051931,rural domestic
EXBT07390933338004,rural domestic
EYCL28119180396222,domestic
EYCZ86177377045500,rural domestic
EYDO33034156130713,rural domestic
EYGX69713322595829,domestic
EYKQ44577036085500,rural domestic
EYPZ06748418237483,rural domestic
EYQP46630597112350,domestic
EYXA65998955849353,domestic
EZRX42211676001548,domestic
FABR05050763707041,domestic
FAEV33311910841452,rural domestic
FAGM51511678501495,domestic
FAJO49726755175770,rural domestic
FAQP32618498404137,domestic
FASR75283242704176,rural domestic
FAWW57445459869229,domestic
FBLN33293915192221,rural domestic
FCDD43252829144359,domestic
FCDS53544616123435,domestic
FCEB55736898860978,domestic
FCGQ19814303536339,domestic
