Year,Month,Consumption,Consumer_number,Installation_zone
2013,1,1,VENX08444954462680,Installation_zone 1
2013,1,2,GRXC33020746550125,Installation_zone 1
2013,1,1,FCGQ19814303536339,Installation_zone 1
2013,1,5,EQKL85694875580467,Installation_zone 3
2013,1,14,KCXW91343862250032,Installation_zone 3
2013,1,10,NFMC42616650055728,Installation_zone 2
2013,1,9,JDVW57666669484928,Installation_zone 1
2013,1,2,HGRS67554693069282,Installation_zone 2
2013,1,19,WJYX39670413648529,Installation_zone 3
2013,1,23,CGDO45046562545022,Installation_zone 1
2013,1,0,RTLT54676567718056,Installation_zone 1
2013,1,0,GMAH74894134130515,Installation_zone 2
2013,1,3,FHGT18236683233786,Installation_zone 1
2013,1,11,JUGV58574305141320,Installation_zone 4
2013,1,3,KDWM72343625346724,Installation_zone 2
2013,1,3,DNUT84611745346865,Installation_zone 2
2013,1,0,INJM43003695626381,Installation_zone 1
2013,1,13,BRMB53233961596348,Installation_zone 1
2013,1,1,EYCL28119180396222,Installation_zone 3
2013,1,7,PWPE26250921629505,Installation_zone 2
2013,1,2,DENA59981898513652,Installation_zone 1
2013,1,2,ZPAS26919496825129,Installation_zone 1
2013,1,1,DCOX56894168490254,Installation_zone 1
2013,1,8,IKZH08078230683532,Installation_zone 1
2013,1,1,FCDD43252829144359,Installation_zone 2
2013,1,3,TNMV48252619601627,Installation_zone 4
2013,1,6,CUUK70735165026551,Installation_zone 2
2013,1,19,FMZB01986300050037,Installation_zone 3
2013,1,0,VVPT29581996676541,Installation_zone 4
2013,1,3,WUIW00818202817837,Installation_zone 3
2013,1,4,TFNU84099184624322,Installation_zone 2
2013,1,4,KACC90728987099547,Installation_zone 4
2013,1,7,GEXI58848523233536,Installation_zone 1
2013,1,9,NBQN43033153874355,Installation_zone 2
2013,1,17,USOI01636292173412,Installation_zone 4
2013,1,8,HXOV80552734877557,Installation_zone 4
2013,1,0,JVYI66208715585159,Installation_zone 3
2013,1,0,COWH94393019622935,Installation_zone 3
2013,1,1,PJBG81551254030092,Installation_zone 3
2013,1,2,FOGL66608699450492,Installation_zone 3
2013,1,0,APIX23025239230384,Installation_zone 4
2013,1,4,USCV77286769892123,Installation_zone 3
2013,1,6,NNKF92704765416624,Installation_zone 3
2013,1,6,LRAL82633550507688,Installation_zone 4
2013,1,0,IMBX02784904646581,Installation_zone 2
2013,1,8,IYPF09448390075115,Installation_zone 4
2013,1,0,WGUY93961702007063,Installation_zone 3
2013,1,7,JDFB91441873190771,Installation_zone 2
2013,1,3,RMQI95915028213378,Installation_zone 4
2013,1,7,ZKPG43880444227846,Installation_zone 2
2013,1,0,KHOY77066062304321,Installation_zone 4
2013,1,0,NHFT84916099108261,Installation_zone 4
2013,1,1,ZWIV32294304461444,Installation_zone 2
2013,1,0,EGYU92010243816407,Installation_zone 2
2013,1,13,FEWR46402099505959,Installation_zone 2
2013,1,7,PBSW73561076867824,Installation_zone 3
2013,1,12,KVAN73479116099584,Installation_zone 3
2013,1,18,RCCB11656325152372,Installation_zone 3
2013,1,10,UQMH00076570081337,Installation_zone 4
2013,1,6,KCWE07038330915205,Installation_zone 3
2013,1,4,XYES67726049538336,Installation_zone 2
2013,1,14,EQAD52473277545292,Installation_zone 3
2013,1,11,MGYP11861755139081,Installation_zone 4
2013,1,0,FZRP63431054534745,Installation_zone 4
2013,1,12,MHKI28456945098761,Installation_zone 1
2013,1,6,HBBB40357355829874,Installation_zone 1
2013,1,9,RRTB85583422636622,Installation_zone 3
2013,1,6,KIVC82184180643031,Installation_zone 2
2013,1,0,PIRW45880935433031,Installation_zone 4
2013,1,9,GFFG01798583116046,Installation_zone 1
2013,1,8,TIAI49210553571077,Installation_zone 3
2013,1,3,RGXF59128583066455,Installation_zone 4
2013,1,0,GUOJ42653699971382,Installation_zone 1
2013,1,0,ITPJ16307087915606,Installation_zone 1
2013,1,34,DWOL20606574790454,Installation_zone 2
2013,1,11,UPQB00785123626543,Installation_zone 3
2013,1,5,NJKG79591092232566,Installation_zone 3
2013,1,4,ZXWX55942012223566,Installation_zone 3
2013,1,1,GGSK50409018679457,Installation_zone 4
2013,1,4,NDFS84069941627676,Installation_zone 1
2013,1,4,AGZD07213467721118,Installation_zone 3
2013,1,8,MPPA13080115709916,Installation_zone 1
2013,1,0,MFKS41426194554322,Installation_zone 1
2013,1,0,FCEB55736898860978,Installation_zone 1
2013,1,10,FIPV92748687797450,Installation_zone 1
2013,1,0,HVTL73614800406347,Installation_zone 1
2013,1,5,GISB05062343018672,Installation_zone 3
2013,1,3,EUEJ04437992005975,Installation_zone 4
2013,1,6,BTCO02703388351356,Installation_zone 2
2013,1,19,CYPV95300994106083,Installation_zone 2
2013,1,11,PBBL36033403303280,Installation_zone 1
2013,1,7,PDEK32941045104177,Installation_zone 1
2013,1,2,OPRG06975490466843,Installation_zone 1
2013,1,4,CEOM94207501913012,Installation_zone 1
2013,1,6,TJQR89577141722603,Installation_zone 3
2013,1,19,VXNE19652261559585,Installation_zone 2
2013,1,16,VVFJ69549881788613,Installation_zone 2
2013,1,3,JBNS92820239995139,Installation_zone 2
2013,2,6,UJXJ03775958628081,Installation_zone 1
2013,2,0,MYWJ48428464556631,Installation_zone 2
2013,2,1,GRXC33020746550125,Installation_zone 1
2013,2,2,DMQW06422804051098,Installation_zone 1
2013,2,0,EQKL85694875580467,Installation_zone 3
2013,2,8,JDVW57666669484928,Installation_zone 1
2013,2,12,CGDO45046562545022,Installation_zone 1
2013,2,0,RTLT54676567718056,Installation_zone 1
2013,2,0,GMAH74894134130515,Installation_zone 2
2013,2,7,FHGT18236683233786,Installation_zone 1
2013,2,2,RAFU09126502665608,Installation_zone 1
2013,2,5,PJJC99484296189857,Installation_zone 1
2013,2,7,CLQG78039033709239,Installation_zone 3
2013,2,4,XNRA02582906985247,Installation_zone 2
2013,2,1,NYRR58688177084605,Installation_zone 1
2013,2,2,KDWM72343625346724,Installation_zone 2
2013,2,0,INJM43003695626381,Installation_zone 1
2013,2,13,TCES88152522045417,Installation_zone 4
2013,2,7,KYIN64721824511108,Installation_zone 2
2013,2,10,PWPE26250921629505,Installation_zone 2
2013,2,1,HDDT94840634914252,Installation_zone 1
2013,2,8,BYYN99780792499601,Installation_zone 1
2013,2,3,KSBL23156232494473,Installation_zone 2
2013,2,1,FCDD43252829144359,Installation_zone 2
2013,2,1,ZKFU57599420843736,Installation_zone 4
2013,2,4,TNMV48252619601627,Installation_zone 4
2013,2,13,FMZB01986300050037,Installation_zone 3
2013,2,7,TFNU84099184624322,Installation_zone 2
2013,2,2,WXYF21113361348253,Installation_zone 4
2013,2,13,AHRA93701497494813,Installation_zone 3
2013,2,20,FMWB30477528904604,Installation_zone 4
2013,2,7,KMJN97150743354414,Installation_zone 1
2013,2,4,ZPYP16337102153664,Installation_zone 2
2013,2,9,HXOV80552734877557,Installation_zone 4
2013,2,0,DWZT19944471696987,Installation_zone 1
2013,2,0,PJBG81551254030092,Installation_zone 3
2013,2,5,STQF83788566178063,Installation_zone 3
2013,2,15,CCTM69477356226980,Installation_zone 4
2013,2,0,APIX23025239230384,Installation_zone 4
2013,2,0,BENG66184610421490,Installation_zone 4
2013,2,8,KXHE28709548532082,Installation_zone 1
2013,2,10,CNTT86559279224757,Installation_zone 1
2013,2,2,ZWAF82502428931885,Installation_zone 4
2013,2,2,FAWW57445459869229,Installation_zone 3
2013,2,5,IYPF09448390075115,Installation_zone 4
2013,2,2,RMQI95915028213378,Installation_zone 4
2013,2,0,KHOY77066062304321,Installation_zone 4
2013,2,0,VRSG89618646640143,Installation_zone 4
2013,2,6,OGBF44324779029820,Installation_zone 3
2013,2,10,UQMH00076570081337,Installation_zone 4
2013,2,7,KCWE07038330915205,Installation_zone 3
2013,2,0,NQNC82525044139361,Installation_zone 3
2013,2,10,DKNF49408713640838,Installation_zone 1
2013,2,3,XYES67726049538336,Installation_zone 2
2013,2,16,GBYA69939822152443,Installation_zone 1
2013,2,6,EQAD52473277545292,Installation_zone 3
2013,2,15,MGYP11861755139081,Installation_zone 4
2013,2,9,ZYDM28607258499868,Installation_zone 1
2013,2,14,FUKN92112193372842,Installation_zone 1
2013,2,1,OFSQ89007894885379,Installation_zone 4
2013,2,0,PIRW45880935433031,Installation_zone 4
2013,2,8,GFFG01798583116046,Installation_zone 1
2013,2,2,RGXF59128583066455,Installation_zone 4
2013,2,15,DWOL20606574790454,Installation_zone 2
2013,2,0,NLZT35421722867668,Installation_zone 3
2013,2,8,NJKG79591092232566,Installation_zone 3
2013,2,10,IWUI42190103436952,Installation_zone 4
2013,2,2,NDFS84069941627676,Installation_zone 1
2013,2,9,MPPA13080115709916,Installation_zone 1
2013,2,6,RCZK44567254451440,Installation_zone 1
2013,2,14,DJPH52747873678053,Installation_zone 3
2013,2,0,FCEB55736898860978,Installation_zone 1
2013,2,2,QPAI08658003576169,Installation_zone 3
2013,2,0,CSKC19500104342907,Installation_zone 2
2013,2,0,EDOD07461150815386,Installation_zone 1
2013,2,2,WNRI10608342882432,Installation_zone 1
2013,2,7,NTMT09595415161699,Installation_zone 1
2013,2,0,UCOU65888903574985,Installation_zone 3
2013,2,3,GFAZ16657492819450,Installation_zone 1
2013,2,6,BTRA97125362656993,Installation_zone 1
2013,2,4,DLEW66076045020818,Installation_zone 2
2013,2,11,YUQP73553481477591,Installation_zone 1
2013,2,0,JCCH45150255813989,Installation_zone 3
2013,2,0,DVNY35143645140029,Installation_zone 2
2013,2,1,IFNG84495482596644,Installation_zone 3
2013,3,2,FUVK81913549523474,Installation_zone 2
2013,3,7,KOCS31815362992210,Installation_zone 2
2013,3,0,FCGQ19814303536339,Installation_zone 1
2013,3,4,EQKL85694875580467,Installation_zone 3
2013,3,2,TRWL67442270835282,Installation_zone 1
2013,3,5,NFMC42616650055728,Installation_zone 2
2013,3,7,JDVW57666669484928,Installation_zone 1
2013,3,6,LHEI47595523159786,Installation_zone 2
2013,3,0,LLIC24181538486678,Installation_zone 1
2013,3,7,HSSV92876412514992,Installation_zone 1
2013,3,5,WJLY65217605299802,Installation_zone 3
2013,3,11,IVXM36178913942788,Installation_zone 1
2013,3,0,GMAH74894134130515,Installation_zone 2
2013,3,7,EBVU90010372787021,Installation_zone 1
2013,3,11,MCUA36598386618228,Installation_zone 4
2013,3,5,DWLO25953900969722,Installation_zone 1
2013,3,2,JYBT89780750132404,Installation_zone 1
2013,3,5,ZMUD27592238141769,Installation_zone 4
2013,3,5,QVSK49209769731009,Installation_zone 1
2013,3,6,NYCR15027250729265,Installation_zone 1
2013,3,9,CEZM82527801889609,Installation_zone 1
2013,3,7,DZFQ84953412069335,Installation_zone 1
2013,3,4,NVMA56908319529535,Installation_zone 1
2013,3,11,TZUJ69246246430307,Installation_zone 3
2013,3,2,EYCL28119180396222,Installation_zone 3
2013,3,5,MTTO08254040481312,Installation_zone 1
2013,3,0,OEUA01021948001923,Installation_zone 1
2013,3,0,GGQC71175062678571,Installation_zone 3
2013,3,5,FCDD43252829144359,Installation_zone 2
2013,3,6,PTGP50399908823421,Installation_zone 3
2013,3,0,MIDT99995692797081,Installation_zone 3
2013,3,5,JEDB74748652800427,Installation_zone 4
2013,3,18,FMZB01986300050037,Installation_zone 3
2013,3,0,PUZZ07640259685759,Installation_zone 3
2013,3,7,UWKE06377259555130,Installation_zone 1
2013,3,5,TFNU84099184624322,Installation_zone 2
2013,3,10,AHRA93701497494813,Installation_zone 3
2013,3,2,RDDF15224798079356,Installation_zone 2
2013,3,1,TGQX37728861690509,Installation_zone 1
2013,3,4,ZPYP16337102153664,Installation_zone 2
2013,3,6,EHCJ02706135202063,Installation_zone 3
2013,3,0,LDVG07028476247747,Installation_zone 4
2013,3,0,QSNR47638755805515,Installation_zone 4
2013,3,10,HXOV80552734877557,Installation_zone 4
2013,3,0,COWH94393019622935,Installation_zone 3
2013,3,0,PJBG81551254030092,Installation_zone 3
2013,3,4,XYNW70803382753712,Installation_zone 3
2013,3,3,OPWS81181980904324,Installation_zone 4
2013,3,0,APIX23025239230384,Installation_zone 4
2013,3,4,NGXL37418609394497,Installation_zone 4
2013,3,4,XQWY83246515643622,Installation_zone 3
2013,3,0,BENG66184610421490,Installation_zone 4
2013,3,4,USCV77286769892123,Installation_zone 3
2013,3,8,KXHE28709548532082,Installation_zone 1
2013,3,7,ZDYE89402681967902,Installation_zone 3
2013,3,4,NNKF92704765416624,Installation_zone 3
2013,3,5,IDLV25802308930770,Installation_zone 4
2013,3,7,ZWAF82502428931885,Installation_zone 4
2013,3,2,FAWW57445459869229,Installation_zone 3
2013,3,12,SAWJ78394099744354,Installation_zone 1
2013,3,7,IYPF09448390075115,Installation_zone 4
2013,3,0,WGUY93961702007063,Installation_zone 3
2013,3,4,JDFB91441873190771,Installation_zone 2
2013,3,15,SNGS60110784798477,Installation_zone 2
2013,3,9,OGBF44324779029820,Installation_zone 3
2013,3,14,AZQH24086160367709,Installation_zone 4
2013,3,12,MUXX08286207117113,Installation_zone 4
2013,3,2,YCEP63387357649644,Installation_zone 1
2013,3,2,HBST63872873388066,Installation_zone 1
2013,3,6,KNTA13295301205579,Installation_zone 3
2013,3,3,JFUO85980686170984,Installation_zone 1
2013,3,6,FZRP63431054534745,Installation_zone 4
2013,3,3,IMXD19478115201071,Installation_zone 4
2013,3,14,FUKN92112193372842,Installation_zone 1
2013,3,7,AZBY61891155526602,Installation_zone 1
2013,3,17,DWOL20606574790454,Installation_zone 2
2013,3,3,NJKG79591092232566,Installation_zone 3
2013,3,0,WUWZ84672361717279,Installation_zone 3
2013,3,0,GGSK50409018679457,Installation_zone 4
2013,3,8,AQLT91571953050328,Installation_zone 4
2013,3,2,NDFS84069941627676,Installation_zone 1
2013,3,12,KPOA19937532089126,Installation_zone 1
